"EmployeeID","Age","Department...3","Gender","MaritalStatus","DistanceFromHome","MonthlyIncome","YearsAtCompany","OverTime","JobSatisfaction","PerformanceRating","Attrition","MonthlyIncome_capped","Age_norm","DistanceFromHome_norm","MonthlyIncome_norm","YearsAtCompany_norm","OverTime_enc","Attrition_enc","Department...20","DepartmentHuman Resources","DepartmentResearch & Development","DepartmentSales","GenderMale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSingle"
1001,37,"Research & Development","Female","Single",1,3408,1.9,"No",2,3,"No",3408,0.452380952380952,0,0.198148949417985,0.0722433460076046,0,0,0,0,1,0,0,0,0,1
1002,37,"Human Resources","Male","Married",13,3769,0.5,"No",2,3,"No",3769,0.452380952380952,0.428571428571429,0.228626908829955,0.0190114068441065,0,0,0,1,0,0,1,0,1,0
1003,35,"Research & Development","Male","Divorced",8,7080,2.2,"Yes",1,3,"No",7080,0.404761904761905,0.25,0.508162985320346,0.0836501901140684,1,0,0,0,1,0,1,1,0,0
1004,37,"Research & Development","Female","Married",1,5991,1.6,"No",2,4,"No",5991,0.452380952380952,0,0.416222548202244,0.0608365019011407,0,0,0,0,1,0,0,0,1,0
1005,45,"","Female","Married",2,8163,9.2,"No",1,3,"No",8163,0.642857142857143,0.0357142857142857,0.599596863556254,0.349809885931559,0,0,1,0,0,0,0,0,1,0
1006,30,"Sales","Male","Married",1,5331,1.9,"No",3,3,"No",5331,0.285714285714286,0,0.36050107116097,0.0722433460076046,0,0,0,0,0,1,1,0,1,0
1007,50,"Sales","Female","Married",2,7417,7.8,"No",1,4,"No",7417,0.761904761904762,0.0357142857142857,0.536614709203542,0.296577946768061,0,0,0,0,0,1,0,0,1,0
1008,35,"Research & Development","Female","Divorced",2,9447,11.1,"No",4,3,"No",9447,0.404761904761905,0.0357142857142857,0.708000464345642,0.422053231939163,0,0,0,0,1,0,0,1,0,0
1009,37,"Research & Development","Female","",1,6373,2.8,"No",2,3,"No",6373,0.452380952380952,0,0.44847346370189,0.106463878326996,0,0,0,0,1,0,0,0,0,0
1010,30,"Research & Development","Female","Married",4,7678,12,"No",4,3,"No",7678,0.285714285714286,0.107142857142857,0.558650020578955,0.456273764258555,0,0,0,0,1,0,0,0,1,0
1011,18,"Sales","Female","Single",8,2082,2.4,"No",4,4,"No",2082,0,0.25,0.0861994364532436,0.091254752851711,0,0,0,0,0,1,0,0,0,1
1012,45,"Human Resources","Male","Divorced",6,10220,16.6,"No",2,3,"No",10220,0.642857142857143,0.178571428571429,0.773262133668225,0.631178707224335,0,0,0,1,0,0,1,1,0,0
1013,37,"Research & Development","Female","Divorced",7,6597,0.5,"No",4,3,"No",6597,0.452380952380952,0.214285714285714,0.467384995303777,0.0190114068441065,0,0,0,0,1,0,0,1,0,0
1014,34,"Sales","Female","Single",1,8293,5.8,"Yes",4,3,"No",8293,0.380952380952381,0,0.610572306003778,0.220532319391635,1,0,0,0,0,1,0,0,0,1
1015,38,"Sales","Male","Married",18,5134,3.4,"Yes",4,3,"No",5134,0.476190476190476,0.607142857142857,0.343869054528953,0.129277566539924,1,0,0,0,0,1,1,0,1,0
1016,42,"Sales","Male","Divorced",11,6943,2.5,"Yes",3,3,"No",6943,0.571428571428571,0.357142857142857,0.496596557510263,0.0950570342205323,1,0,0,0,0,1,1,1,0,0
1017,23,"Sales","Male","Single",10,1719,5,"No",1,3,"No",1719,0.119047619047619,0.321428571428571,0.0555526240805429,0.190114068441065,0,0,0,0,0,1,1,0,0,1
